Bigass NES Mapper List 0.1 - This document is intended to serve as some sort
of master list for ROMs.  For example, say you find something set to the
wrong mapper, but you have no idea where it should be - check here and save
yourself time.

What it is - A damn near complete list of all the .NES format ROMs out there,
             with a proverbial buttload of entries (don't feel like counting)
             and mapper info for each.  

What it's not - Entirely complete.  There's a rather large number of Japanese
                ROMs missing from this list (Hi, Keropi!) but I don't feel
                that their absence is that big of a deal, considering that
                those particular ROMs are only in the hands of a -very- few
                people.  Consider this a complete list for "findable" ROMs.
                Also, the mirroring info given isn't always to be trusted.
                These just happen to be what mine are set on, so if one doesn't
                work, flip it.

Suggestions - If you have some suggestions for the list, mail me at the address
              below.  Should I divide these up into US/Japanese/Euro, or leave
              it like it is?  Also, what about FDS games - any use in adding
              those?

If you have any questions or whatnot, you can mail me at lugnut@hotmail.com


-

Title                           Size                Mirroring   Mapper
Alien 3				128k PRG / 128k CHR	H	MMC3 (4)
Alien Syndrome (J)		128k PRG / 128k CHR	H	MMC1 (1)
All Pro Basketball		128k PRG / 128k CHR	V	MMC1 (1)
Alpha Mission                   32k PRG / 32k CHR       H       CNROM (3)
Altered Beast 			128k PRG / 128k CHR	H	MMC3 (4)
Amagon                          128k PRG / 0k CHR       V       UNROM (2)
America Oudan no Ultra Quiz     512k PRG / 0k CHR       V       MMC3 (4)
American Dream			128k PRG / 128k CHR	H	MMC1 (1)
American Gladiators             128k PRG / 128k CHR     H       MMC1 (1)
Ankoku Sinwa                    256k PRG / 0k CHR       H       MMC1 (1)
Anpan Man no Hiragana Daisuki	128k PRG / 128k CHR	H	MMC3 (4)
Antarctic Adventure             16k PRG / 8k CHR        H       ---- (0)
Anticipation                    32k PRG / 32k CHR       H       MMC1 (1)
Arabian Dream Sharezerd [hacked]256k PRG / 0k CHR       V       FFE F4xxx (6)
Arch Rivals                     128k PRG / 0k CHR       H       AOROM (7)
Archon                          128k PRG / 0k CHR       H       UNROM (2)
Arctic                          128k PRG / 0k CHR       V       UNROM (2)
Argus                           32k PRG / 16k CHR       V       CNROM (3)
Arkanoid                        32k PRG / 8k CHR        V       ---- (0)
Armored Scrum Object            32k PRG / 32k CHR       H       CNROM (3)
Artelius                        128k PRG / 32k CHR      H       MMC1 (1)
Asmikkun Land			128k PRG / 128k CHR	V	MMC3 (4)
Asterix (PAL)                   128k PRG / 0k CHR       V       UNROM (2)
Astro Robo Sasa                 32k PRG / 8k CHR        V       ---- (0)
Astyanax                        128k PRG / 128k CHR     H       MMC3 (4)
Athena                          128k PRG / 0k CHR       V       UNROM (2)
Athena (J)                      128k PRG / 0k CHR       V       UNROM (2)
Athletic World                  32k PRG / 32k CHR       H       CNROM (3)
Atlantis no Nazo                32k PRG / 24k CHR       V       MMC1 (1)
Attack Animal Gakuen            128k PRG / 0k CHR       V       UNROM (2)
Attack of the Killer Tomatoes   128k PRG / 128k CHR     H       MMC1 (1)
AV Pachi Slot                   32k PRG / 64k CHR       H       CNROM (3)


B-Wings                         32k PRG / 8k CHR        H       ---- (0)
Babel no Tou			32k PRG / 32k CHR	H	MMC3 (4)
Baby Boomer			64k PRG / 16k CHR	V	Colour Dreams (11)
Back to the Future              32k PRG / 8k CHR        V       ---- (0)  <--bad dump
Back to the Future 2/3		128k PRG / 128k CHR	V	MMC1 (1)
Bad Dudes			128k PRG / 128k CHR	H	MMC3 (4)
Bad News Baseball		128k PRG / 128k CHR	V	MMC1 (1) 
Bad Street Brawler		128k PRG / 0k CHR	V	MMC1 (1)
Baken Hissyougaku Gate-In       256k PRG / 0k CHR       H       MMC1 (1)        
Bakusyou Jinsei Gekijyou        256k PRG / 128k CHR     H       TC0190 / TC0350 (33)
Bakusyou Jinsei Gekijyou 3      256k PRG / 256k CHR     H       MMC3 (4)
Ballblazer			128k PRG / 0k CHR	V	UNROM (2)
Balloon Fight			16k PRG / 8k CHR	V	---- (0)
Balloon Fight (PAL)		16k PRG / 8k CHR	H	---- (0)
Baltron                         32k PRG / 8k CHR        V       ---- (0)
Banana				32k PRG / 32k CHR	V	CNROM (3)
Bananan no Ouiji Daibouken	128k PRG / 128k CHR	H	MMC3 (4)
Bandit Kings of Ancient China	256k PRG / 128k CHR	H	MMC5 (5)
Barbie				128k PRG / 128k CHR	H	MMC1 (1)
Bard's Tale, The		128k PRG / 0k CHR	H	MMC1 (1)  <-- Possible bad dump?
Bard's Tale, The (J)		256k PRG / 0k CHR	H	MMC1 (1)
Bard's Tale 2, The		256k PRG / 0k CHR	H	MMC1 (1)
Barker Bill's Trick Shooting	64k PRG / 112k CHR	H	MMC1 (1)
Bart vs. the Space Mutants      128k PRG / 128k CHR     V       MMC1 (1)  <-- perhaps missing 128k in the PRG
Bart vs. the World		256k PRG / 128k CHR	H	MMC3 (4)
Bartman Meets Radioactive Man   256k PRG / 128k CHR     H       MMC3 (4)
Base Wars			128k PRG / 128k CHR	H	MMC3 (4)
Baseball			16k PRG / 8k CHR	H	---- (0)
Baseball (J)			16k PRG / 8k CHR	H	---- (0)
Baseball Simulator 1000		128k PRG / 128k CHR	V	MMC1 (1)
Baseball Stars			128k PRG / 128k CHR	V	MMC1 (1)
Baseball Stars (J)		128k PRG / 128k CHR	V	MMC1 (1)
Baseball Stars 2		256k PRG / 128k CHR	H	MMC3 (4)
Bases Loaded			256k PRG / 64k CHR	H	MMC1 (1)
Bases Loaded 2			256k PRG / 128k CHR	H	MMC1 (1)
Bases Loaded 3			256k PRG / 128k CHR	H	MMC3 (4)
Bases Loaded 4			256k PRG / 128k CHR	H	MMC3 (4)
Batman				128k PRG / 128k CHR	H	MMC3 (4)
Batman (J)			128k PRG / 128k CHR	H	Sunsoft 5 (69)
Batman (PAL)			128k PRG / 128k CHR	H	MMC3 (4)
Batman - Return of the Joker	128k PRG / 256k CHR	H	Sunsoft 5 (69)
Batman Returns			128k PRG / 256k CHR	V	MMC3 (4)
Battle Chess			256k PRG / 0k CHR	H	MMC1 (1)
Battle City			16k PRG / 8k CHR	H	---- (0)
Battle of Olympus, The          128k PRG / 0k CHR       V       MMC1 (1)
Battle Stadium			128k PRG / 128k CHR	V	MMC1 (1)
Battle Storm			128k PRG / 128k CHR	V	MMC1 (1)
Battletoads			256k PRG / 0k CHR	H	AOROM (7)
Battletoads (PAL)		256k PRG / 0k CHR	H	AOROM (7)
Battletoads / Double Dragon	256k PRG / 0k CHR	H	AOROM (7)
Batu and Teree			128k PRG / 0k CHR	V	UNROM (2)
Be-Bop High School		128k PRG / 128k CHR	H	MMC1 (1)
Bee 52				65k PRG / 0k CHR	V	Camerica (71)  <-- Bad dump?
Beetlejuice			128k PRG / 0k CHR	H	AOROM (7)
Best of the Best		256k PRG / 0k CHR	V	UNROM (2)
Best Play Pro Yakyuu		128k PRG / 32k CHR	V	MMC1 (1)
Best Play Pro Yakyuu 2		256k PRG / 0k CHR	H	MMC1 (1)
Best Play Pro Yakyuu Special	256k PRG / 0k CHR	H	MMC1 (1)
Bible Adventures		64k PRG / 64k CHR	V	Colour Dreams (11)
Big Bird's Hide and Speak       256k PRG / 128k CHR     H       MMC1 (1)
Big Nose Freaks Out		256k PRG / 0k CHR	V	Camerica (71)
Bigfoot				128k PRG / 128k CHR	H	MMC1 (1)
Bikkuri Man World Gekitotu Sei Sensi	256k PRG / 0k CHR	V	MMC1 (1)
Bill and Ted's Excellent Adventure	128k PRG / 128k CHR	H	MMC1 (1)
Bill Elliot's NASCAR Challenge  128k PRG / 256k CHR     H       MMC3 (4)
Binary Land			16k PRG / 8k CHR	H	---- (0)
Bio Senshi Dan			128k PRG / 128k CHR	H	74161/32 (66)
Bionic Commando			256k PRG / 0k CHR	V	MMC1 (1)
Bird Week			16k PRG / 0k CHR	V	CNROM (3)
Birdy Rush			128k PRG / 128k CHR	H	MMC1 (1)
Black Bass, The			128k PRG / 0k CHR	H	UNROM (2)
Black Bass, The (J)		128k PRG / 0k CHR	H	UNROM (2)
Black Bass 2, The		128k PRG / 0k CHR	H	UNROM (2)
Blades of Steel			128k PRG / 0k CHR	V	UNROM (2)
Blades of Steel (PAL)		128k PRG / 0k CHR	V	UNROM (2)
Blaster Master			128k PRG / 128k CHR	H	MMC1 (1)
Blaster Master (PAL)		128k PRG / 128k CHR	H	MMC1 (1)
Bloody Warriors			256k PRG / 0k CHR	V	MMC1 (1)
Blue Marlin, The		128k PRG / 128k CHR	H	MMC3 (4)
Blue Shadow			128k PRG / 128k CHR	H	MMC3 (4)
Blue Train Satsujin Jiken	128k PRG / 256k CHR	H	Bandai (16)  <--this is possibly
										a hacked version,
										since Irem made
										the game.
Blues Brothers, The		128k PRG / 0k CHR	V	UNROM (2)
Bo Jackson Baseball		128k PRG / 184k CHR	H	MMC3 (4)
Bokosuka Wars                   32k PRG / 8k CHR        V       ---- (0)
Boku Dracula Kun                128k PRG / 128k CHR     V       VRC2B (23)
Bomber King			128k PRG / 0k CHR	V	UNROM (2)
Bomberman (J)			16k PRG / 8k CHR	V	---- (0)
Bomberman 2 (J)			128k PRG / 0k CHR	V	UNROM (2)
Booby Kids			128k PRG / 0k CHR	H	UNROM (2)
Boulder Dash			128k PRG / 128k CHR	H	MMC1 (1)
Boulder Dash (J)		32k PRG / 32k CHR	H	MMC1 (1)
Boy and His Blob, A		128k PRG / 128k CHR	H	MMC1 (1)
Breakthru			128k PRG / 128k CHR	H	MMC1 (1)
Brush Roller			16k PRG / 8k CHR	V	CNROM (3)
Bubble Bobble			128k PRG / 32k CHR	H	MMC1 (1)
Bubble Bobble (PAL)		128k PRG / 32k CHR	H	MMC1 (1)
Bubble Bobble 2			128k PRG / 128k CHR	H	MMC3 (4)
Bucky O' Hare			128k PRG / 128k CHR	H	MMC3 (4)
Bucky O' Hare (J)		128k PRG / 128k CHR	H	MMC3 (4)
Bucky O' Hare (PAL)		128k PRG / 128k CHR	H	MMC3 (4)
Buggy Popper			32k PRG / 32k CHR	V	CNROM (3)
Bugs Bunny's Crazy Castle	64k PRG / 32k CHR	H	MMC1 (1)
Bugs Bunny's Birthday Blowout	128k PRG / 128k CHR	H	MMC3 (4)
Bump N' Jump			32k PRG / 32k CHR	H	CNROM (3)
Burai Fighter			32k PRG / 32k CHR	H	MMC3 (4)
Burgertime (J)			16k PRG / 8k CHR	H	---- (0)


Cabal				128k PRG / 0k CHR	H	AOROM (7)
Cadillac			32k PRG / 32k CHR	H	CNROM (3)
Caesar's Palace			256k PRG / 0k CHR	H	AOROM (7)
California Games		128k PRG / 0k CHR	V	UNROM (2)
Capcom Barcelona '92		128k PRG / 128k CHR	H	MMC3 (4)
Captain America and the Avengers128k PRG / 128k CHR	H	MMC3 (4)	
Captain Ed			256k PRG / 0k CHR	V	MMC1 (1)
Captain Planet 			128k PRG / 128k CHR	H	MMC3 (4)
Captain Silver			128k PRG / 128k CHR	H	MMC1 (1)
Captain Skyhawk			128k PRG / 0k CHR	H	AOROM (7)
Captain Tsubasa			128k PRG / 128k CHR	V	MMC1 (1)
Captain Tsubasa 2		256k PRG / 128k CHR	V	MMC3 (4)
Casino Kid			128k PRG / 0k CHR	H	UNROM (2)
Castelian			128k PRG / 0k CHR	V	UNROM (2)
Castelian (PAL)			128k PRG / 0k CHR	V	UNROM (2)
Castle Excellent		32k PRG / 32k CHR	H	CNROM (3)
Castle of Deceit		64k PRG / 64k CHR	H	Colour Dreams (11)
Castle of Dragon		128k PRG / 0k CHR	V	UNROM (2)
Castlequest (J)			128k PRG / 128k CHR	H	MMC3 (4)
Castlevania			128k PRG / 0k CHR	V	UNROM (2)
Castlevania 2			128k PRG / 128k CHR	H	MMC1 (1)
Castlevania 2 (PAL)		128k PRG / 128k CHR	H	MMC1 (1)
Castlevania 3			256k PRG / 128k CHR	V	MMC5 (5)
Catts Nintouden Teyandey	128k PRG / 128k CHR	V	MMC3 (4)
Caveman Games			128k PRG / 128k CHR	H	MMC1 (1)
Caveman Ninja			128k PRG / 128k CHR	H	MMC3 (4)
Chack N' Pop			16k PRG / 8k CHR	H	---- (0)
Challenger                      32k PRG / 8k CHR        V       ---- (0)
Championship Bowling (J)	32k PRG / 32k CHR	H	CNROM (3)
Championship Lode Runner	16k PRG / 8k CHR	V	---- (0)
Championship Pool		128k PRG / 0k CHR	V	UNROM (2)
Chaos World			256k PRG / 128k CHR	H	MMC1 (1)
Chase HQ			128k PRG / 128k CHR	H	MMC3 (4)
Chester Field			128k PRG / 0k CHR	V	UNROM (2)
Chibi Marukochan Uki Uki Shopping	128k PRG / 128k CHR	H	MMC3 (4)
Chiller				32k PRG / 32k CHR	V	MMC1 (1)
Chip N' Dale - Rescue Rangers	128k PRG / 128k CHR	H	MMC1 (1)
Chip N' Dale - Rescue Rangers 2	128k PRG / 128k CHR	H	MMC1 (1)
Chip to Dale no Daisakusen	128k PRG / 128k CHR	H	MMC1 (1)
Chip to Dale no Daisakusen 2	128k PRG / 128k CHR	H	MMC1 (1)
Chiyo no Fuji			128k PRG / 128k CHR	H	MMC3 (4)
Choplifter 			32k PRG / 16k CHR	V	CNROM (3)
Choujin Sentai Jetman           128k PRG / 128k CHR     H       MMC1 (1)
Choujin Ultra Baseball		128k PRG / 128k CHR	V	MMC1 (1)
Chubby Cherub			32k PRG / 16k  CHR	H	CNROM (3)
Chugoku Jyansi Story Tonpuu     128k PRG / 128k CHR     H       MMC1 (1)
Chugoku Sensei Jyuutu           128k PRG / 0k CHR       H       UNROM (2)
Chuka Taisen			128k PRG / 128k CHR	V	MMC1 (1)
Circus Caper			128k PRG / 128k CHR	V	MMC1 (1)
Circus Charlie			16k PRG /  8k CHR	V	CNROM (3)
City Connection			32k PRG / 32k CHR	V	CNROM (3)
City Connection (J)		16k PRG / 16k CHR	V	CNROM (3)
Clash at Demonhead		128k PRG / 128k CHR	H	MMC1 (1)
Cliffhanger			128k PRG / 128k CHR	H	MMC3 (4)
Clu Clu Land			16k PRG / 16k CHR	H	CNROM (3)
Clu Clu Land disk-to-nes conv.	32k PRG / 8k CHR	H	-- (0) [uses .sav file to load]
Cobra Command			128k PRG / 128k CHR	H	MMC1 (1)
Cobra Command (J)		128k PRG / 128k CHR	H	MMC1 (1)
Cobra Triangle			128k PRG / 0k CHR	H	AOROM (7)
Cobra Triangle (PAL)		128k PRG / 0k CHR	H	AOROM (7)
Cocoron				256k PRG / 0k CHR	V	MMC1 (1)
Code Name Viper                 128k PRG / 128k CHR     H       MMC3 (4)
Columbus Ougon no Yoake		128k PRG / 128k CHR	V	MMC3 (4)
Commando			256k PRG / 0k CHR	H	AOROM (7)
Conan				128k PRG / 0k CHR	H	UNROM (2)
Conflict                        128k PRG / 128k CHR     H       MMC1 (1) <--bad dump
Conquest of the Crystal Palace	128k PRG / 128k CHR	H	MMC3 (4)
Contra				128k PRG / 0k CHR	V	UNROM (2)
Contra (J)			128k PRG / 128k CHR	H	VRC2b (23)
Contra Force			128k PRG / 128k CHR	V	MMC3 (4)
Cool World			128k PRG / 128k CHR	H	MMC1 (1)
Cosmic Epsilon			128k PRG / 256k CHR	H	MMC3 (4)
Cosmic Wars			128k PRG / 128k CHR	H	MMC1 (1)
Cosmo Genesis			32k PRG / 32k CHR	H	CNROM (3)
Cosmo Police Galivan            128k PRG / 128k CHR     H       MMC1 (1)
Crackout			128k PRG / 0k CHR	H	UNROM (2)
Crash N' The Boys		128k PRG / 128k CHR	H	MMC3 (4)
Crazy Climber			256k PRG / 0k CHR	H	Irem 74161/32 (97)
Crazy Climber [hacked]		256k PRG / 0k CHR	H	(15)
Crisis Force [hacked]		128k PRG / 128k CHR	H	MMC3 (4)
Crossfire			128k PRG / 128k CHR	H	MMC3 (4)
Crystal Mines 2			64k PRG / 16k CHR	V	Colour Dreams (11)
Crystalis			256k PRG / 128k CHR	H	MMC3 (4)
Cyberball			128k PRG / 128k CHR	H	MMC3 (4)
Cybernoid			32k PRG / 32k CHR	V	CNROM (3)


Dai Meiro			128k PRG / 128k CHR	H	MMC1 (1)
Dai Senryaku                    128k PRG / 32k CHR      V       MMC1 (1)
Daikaijyuu Deburas		128k PRG / 256k CHR	V	MMC3 (4)
Daiku no Gensan                 128k PRG / 128k CHR     H       MMC3 (4)
Daiku no Gensan 2               128k PRG / 128k CHR     H       Irem H3001 (65)
Daiva				128k PRG / 0k CHR	V	UNROM (2)
Dance Aerobics			64k PRG / 32k CHR	H	MMC1 (1)
Danny Sullivan's Indy Heat      128k PRG / 0k CHR       H       AOROM (7)
Dark Lord			256k PRG / 128k CHR	V	MMC3 (4)
Darkman				128k PRG / 128k CHR	H	MMC1 (1)
Darkwing Duck			128k PRG / 128k CHR	V	MMC1 (1)
Dash Galaxy in the Alien Asylum 32k PRG / 32k CHR       H       CNROM (3)
Dash Yarou			128k PRG / 0k CHR	V	UNROM (2)
Days of Thunder			128k PRG / 256k CHR	H	MMC3 (4)
Datach Dragonball Z		256k PRG / 0k CHR	H	Bandai (16)
Datsugoku			128k PRG / 128k CHR	H	MMC1 (1)
Day Dreamin' Davey		256k PRG / 128k CHR	H	MMC1 (1)
Deadly Towers			128k PRG / 0k CHR 	H	Nina-1 (34)
Deblock				32k PRG / 32k CHR	V	CNROM (3)
Deep Dungeon 3			256k PRG / 0k CHR	V	MMC1 (1)
Deep Dungeon 4			256k PRG / 0k CHR	V	MMC1 (1)
Defender 2			16k PRG / 8k CHR	V	---- (0)
Defender of the Crown		256k PRG / 0k CHR	V	MMC1 (1)
Defenders of Dynatron City	128k PRG / 128k CHR	H	MMC3 (4)
Deja Vu				128k PRG / 256k CHR	H	MMC3 (4)
Demon Sword			128k PRG / 128k CHR	H	MMC1 (1)
Dengeki Big Bang		128k PRG / 128k CHR	H	MMC1 (1)
Densetsu no Kisi Elrond		128k PRG / 0k CHR	V	AOROM (7)
Derby Stallion			128k PRG / 128k CHR	V	MMC1 (1)
Derby Stallion Zenkokuban	128k PRG / 128k CHR	H	MMC1 (1)
Desert Commander		128k PRG / 128k CHR	V	MMC1 (1)
Destiny of an Emperor		256k PRG / 0k CHR	V	MMC1 (1)
Devil World			16k PRG / 8k CHR	H	---- (0)
Dezaemon			128k PRG / 0k CHR	H	MMC1 (1)
Dick Tracy			128k PRG / 0k CHR	V	UNROM (2)
Die Hard (J)			128k PRG / 128k CHR	H	MMC1 (1)
Dig Dug				16k PRG / 8k CHR	H	---- (0)
Dig Dug 2 (J)                   32k PRG / 8k CHR        V       ---- (0)
Digger T. Rock			128k PRG / 0k CHR	H	AOROM (7)
Dirty Harry			256k PRG / 128k CHR	H	MMC3 (4)
Dizzy The Adventurer		128k PRG / 0k CHR	V	Camerica (71)
Dodge Danpei 2			256k PRG / 256k CHR	H	Sunsoft 5 (69)
Donkey Kong			16k PRG / 8k CHR	V	---- (0)
Donkey Kong 3			16k PRG / 8k CHR	V	---- (0)
Donkey Kong Classics		32k PRG / 32k CHR	V	CNROM (3)
Donkey Kong Jr.			16k PRG / 8k CHR	V	---- (0)
Donkey Kong Jr. Math		16k PRG / 8k CHR	V	---- (0)
Donkey Kong Jr. Sansuu Asobi	16k PRG / 8k CHR	V	---- (0)
Doki Doki Yuenchi		128k PRG / 128k CHR	H	MMC3 (4)
Dokugan Masamune [hacked]	256k PRG / 0k CHR	V	FFE F4xxx (6)
Don Doko Don                    128k PRG / 256k CHR     H       TC0190/TC0350 (33)
Don Doko Don 2			128k PRG / 256k CHR	V	TC0190/TC0350 (33)
Donald Duck			128k PRG / 128k CHR	H	MMC1 (1)
Donald Land			128k PRG / 128k CHR	H	MMC1 (1)
Door Door			16k PRG / 8k CHR	V	---- (0)
Doraemon Gigzombi no Gyakusyuu	256k PRG / 0k CHR	H	MMC1 (1)
Doraemon Kaitakuhen [hacked]	128k PRG / 32k CHR	V	FFE F3xxx (8)
Double Dare			256k PRG / 0k CHR	H	AOROM (7)
Double Dragon			128k PRG / 128k CHR	H	MMC1 (1)
Double Dragon (J)		128k PRG / 128k CHR	H	MMC1 (1)
Double Dragon (PAL)		128k PRG / 128k CHR	H	MMC1 (1)
Double Dragon 2			128k PRG / 128k CHR	H	MMC3 (4)
Double Dragon 2 (J)		128k PRG / 128k CHR	V	MMC3 (4)
Double Dragon 3			128k PRG / 128k CHR	H	MMC3 (4)
Double Dragon 3 (J)		128k PRG / 128k CHR	V	MMC3 (4)
Double Dragon 3 (PAL)		128k PRG / 128k CHR	H	MMC3 (4)
Double Dribble			128k PRG / 0k CHR	V	UNROM (2)
Double Strike			32k PRG / 32k CHR	H	AVE (79)
Doublemoon Densetsu		512k PRG / 0k CHR	H	MMC3 (4)
Dough Boy                       32k PRG / 8k CHR        V       ---- (0)
Downtown Nekketsu Jidaigekidayo 128k PRG / 128k CHR     H       MMC3 (4)
Downtown Nekketsu Kousinkyoko	128k PRG / 128k CHR	H	MMC3 (4)
Downtown Nekketsu Monogatari	128k PRG / 128k CHR	V	MMC3 (4)
Dr. Chaos			128k PRG / 0k CHR	V	UNROM (2)
Dr. Jekyll and Mr. Hyde		128k PRG / 32k CHR	H	MMC1 (1)
Dr. Mario			32k PRG / 32k CHR	H	MMC1 (1)
Dr. Mario (PAL)			32k PRG / 32k CHR	H	MMC1 (1)
Dracula				128k PRG / 128k CHR	H	MMC3 (4)
Dracula (PAL)			128k PRG / 128k CHR	H	MMC3 (4)
Dragon Buster                   128k PRG / 32k CHR      H       Namco 1xx (95)
Dragon Buster [hacked]		128k PRG / 32k CHR	V	MMC3 (4)
Dragon Buster 2			128k PRG / 64k CHR	V	MMC3 (4)
Dragon Fighter			128k PRG / 128k CHR	H	MMC1 (1)
Dragon Power			128k PRG / 32k CHR	H	74161/32 (66)
Dragon Quest			32k PRG / 32k CHR	V	CNROM (3)
Dragon Quest 2			128k PRG / 0k CHR	V	UNROM (2)
Dragon Quest 3			256k PRG / 0k CHR	V	UNROM (2)
Dragon Quest 4			1024k PRG / 0k CHR	V	MMC1 (1)
Dragon Scroll [hacked]		256k PRG / 0k CHR	V	FFE F4xxx (6)		
Dragon Slayer 4			128k PRG / 64k CHR	V	MMC3 (4)
Dragon Spirit			128k PRG / 128k CHR	H	MMC3 (4)
Dragon Spirit (J)		128k PRG / 128k CHR	H	Namco 118 (88)
Dragon Strike			256k PRG / 256k CHR	H	MMC3 (4)
Dragon Unit			128k PRG / 0k CHR	V	UNROM (2)
Dragon Warrior			64k PRG / 16k CHR	H	MMC1 (1)
Dragon Warrior 2		256k PRG / 0k CHR	V	MMC1 (1)
Dragon Warrior 3		512k PRG / 0k CHR	H	MMC1 (1)
Dragon Warrior 4		1024k PRG / 0k CHR	H	MMC1 (1)
Dragon Wars			256k PRG / 128k CHR	V	MMC3 (4)
Dragon's Lair			128k PRG / 0k CHR	V	UNROM (2)
Dragonball			128k PRG / 32k CHR	V	74161/32 (66)
